"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
43,"V","2024-09-30","2024-Q3","9617000000","1817000000","7800000000","1441000000","6359000000","5318000000","2.6600","2.6500","6822000000","2025-08-17 07:23:34.979436"
44,"V","2024-06-30","2024-Q2","8900000000","1773000000","7127000000","1176000000","5951000000","4872000000","2.4000","2.4000","6449000000","2025-08-17 07:23:34.99128"
45,"JNJ","2025-06-30","2025-Q2","23743000000","7628000000","16115000000","9305000000","6810000000","5537000000","2.3006","2.2900","8742000000","2025-08-17 07:23:38.023652"
46,"JNJ","2025-03-31","2025-Q1","21893000000","7357000000","14536000000","8237000000","6299000000","10999000000","4.5722","4.5400","15607000000","2025-08-17 07:23:38.049211"
47,"JNJ","2024-12-31","2024-Q4","22520000000","7128000000","15392000000","11551000000","3841000000","3431000000","1.4255","1.4100","5920000000","2025-08-17 07:23:38.063634"
48,"JNJ","2024-09-30","2024-Q3","22471000000","6963000000","15508000000","10230000000","5278000000","2694000000","1.1200","1.1100","5377000000","2025-08-17 07:23:38.077466"
49,"JNJ","2024-06-30","2024-Q2","22447000000","6869000000","15578000000","8921000000","6657000000","4686000000","1.9500","1.9300","7800000000","2025-08-17 07:23:38.090667"
50,"JNJ","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:38.101881"
51,"JNJ","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:38.111734"
52,"WMT","2025-04-30","2025-Q2","165609000000","124303000000","41306000000","34171000000","7135000000","4487000000","0.5600","0.5600","10000000000","2025-08-17 07:23:40.990145"
53,"WMT","2025-01-31","2025-Q1","180554000000","136172000000","44382000000","36523000000","7859000000","5254000000",NULL,NULL,"11054000000","2025-08-17 07:23:41.016753"
54,"WMT","2024-10-31","2024-Q4","169588000000","127340000000","42248000000","35540000000","6708000000","4577000000","0.5700","0.5700","9976000000","2025-08-17 07:23:41.031697"
55,"WMT","2024-07-31","2024-Q3","169335000000","126810000000","42525000000","34585000000","7940000000","4501000000","0.5600","0.5600","10103000000","2025-08-17 07:23:41.047093"
56,"WMT","2024-04-30","2024-Q2","161508000000","121431000000","40077000000","33236000000","6841000000","5104000000","0.6300","0.6300","10877000000","2025-08-17 07:23:41.063242"
57,"WMT","2024-01-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"0.6800","0.6767",NULL,"2025-08-17 07:23:41.077049"
58,"JPM","2025-06-30","2025-Q2","44882000000",NULL,NULL,NULL,NULL,"14987000000","5.2500","5.2400",NULL,"2025-08-17 07:23:44.166486"
59,"JPM","2025-03-31","2025-Q1","45327000000",NULL,NULL,NULL,NULL,"14643000000","5.0800","5.0700",NULL,"2025-08-17 07:23:44.182171"
60,"JPM","2024-12-31","2024-Q4","42791000000",NULL,NULL,NULL,NULL,"14005000000","4.8200","4.8100",NULL,"2025-08-17 07:23:44.198172"
61,"JPM","2024-09-30","2024-Q3","42656000000",NULL,NULL,NULL,NULL,"12898000000","4.3800","4.3700",NULL,"2025-08-17 07:23:44.213117"
62,"JPM","2024-06-30","2024-Q2","42068000000",NULL,NULL,NULL,NULL,"18149000000","6.1300","6.1200",NULL,"2025-08-17 07:23:44.227231"
63,"JPM","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:44.241995"
64,"JPM","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:44.25577"
65,"PG","2025-06-30","2025-Q2","20889000000","10631000000","10258000000","5904000000","4354000000","3615000000",NULL,NULL,"5456000000","2025-08-17 07:23:47.322263"
66,"PG","2025-03-31","2025-Q1","19776000000","9694000000","10082000000","5524000000","4558000000","3769000000","1.5800","1.5400","5568000000","2025-08-17 07:23:47.350136"
67,"PG","2024-12-31","2024-Q4","21882000000","10418000000","11464000000","5723000000","5741000000","4630000000","1.9400","1.8800","6791000000","2025-08-17 07:23:47.363238"
68,"PG","2024-09-30","2024-Q3","21737000000","10421000000","11316000000","5519000000","5797000000","3959000000","1.6500","1.6100","6106000000","2025-08-17 07:23:47.378354"
69,"PG","2024-06-30","2024-Q2","20532000000","10348000000","10184000000","6299000000","3885000000","3137000000","1.3000","1.2700","4851000000","2025-08-17 07:23:47.394785"
70,"PG","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"1.5600","1.5200",NULL,"2025-08-17 07:23:47.409104"
71,"UNH","2025-06-30","2025-Q2","111616000000","91604000000","20012000000","14862000000","5150000000","3406000000","3.7635","3.7400","6193000000","2025-08-17 07:23:50.526603"
72,"UNH","2025-03-31","2025-Q1","109575000000","85801000000","23774000000","14655000000","9119000000","6292000000","6.9143","6.8500","10165000000","2025-08-17 07:23:50.55529"
73,"UNH","2024-12-31","2024-Q4","100807000000","79499000000","21308000000","13535000000","7773000000","5543000000","6.0579","5.9800","8835000000","2025-08-17 07:23:50.567213"
74,"UNH","2024-09-30","2024-Q3","100820000000","77791000000","23029000000","14321000000","8708000000","6055000000","6.5600","6.5100","9729000000","2025-08-17 07:23:50.582583"
75,"UNH","2024-06-30","2024-Q2","98855000000","76798000000","22057000000","14182000000","7875000000","4216000000","4.5800","4.5400","7670000000","2025-08-17 07:23:50.599383"
76,"UNH","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:50.614149"
77,"UNH","2023-12-31","2023-Q4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:23:50.623452"
78,"MA","2025-06-30","2025-Q2","8133000000","1852000000","6281000000","1367000000","4914000000","3701000000",NULL,NULL,"5148000000","2025-08-17 07:23:53.593638"
79,"MA","2025-03-31","2025-Q1","7250000000","1688000000","5562000000","1261000000","4301000000","3280000000","3.6000","3.5900","4488000000","2025-08-17 07:23:53.623705"
80,"MA","2024-12-31","2024-Q4","7489000000","1653000000","5836000000","1602000000","4234000000","3342000000","3.6400","3.6400","4306000000","2025-08-17 07:23:53.641244"
81,"MA","2024-09-30","2024-Q3","7369000000","1899000000","5470000000","1274000000","4196000000","3263000000","3.5400","3.5300","4250000000","2025-08-17 07:23:53.657329"
82,"MA","2024-06-30","2024-Q2","6961000000","1607000000","5354000000","1215000000","4139000000","3258000000","3.5100","3.5000","4317000000","2025-08-17 07:23:53.673813"
83,"MA","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,"3.2300","3.2200",NULL,"2025-08-17 07:23:53.686617"
84,"DIS","2025-06-30","2025-Q2","23650000000","14532000000","9118000000","5473000000","3645000000","5262000000","2.9200","2.9200","4981000000","2025-08-17 07:23:56.590765"
85,"DIS","2025-03-31","2025-Q1","23621000000","14810000000","8811000000","5305000000","3506000000","3275000000","1.8100","1.8100","4882000000","2025-08-17 07:23:56.615163"
86,"DIS","2024-12-31","2024-Q4","24690000000","15406000000","9284000000","5206000000","4078000000","2554000000","1.4100","1.4000","5423000000","2025-08-17 07:23:56.626919"
